BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E2:44:89:D5:04:CC, 2025-04-13 01:43:06, 2025-04-13 02:36:45,1,195, WPA2, CCMP, PSK,-79,32,0,   0.  0.  0.  0,0, , 
40:AE:30:56:31:50, 2025-04-13 01:52:05, 2025-04-13 02:37:02,6,195, OPN, ,   ,-76,108,0,   0.  0.  0.  0,10, Amity-wifi, 
46:AE:30:56:31:50, 2025-04-13 01:43:05, 2025-04-13 02:37:02,6,195, OPN, ,   ,-74,105,0,   0.  0.  0.  0,11, Amity-Guest, 
40:AE:30:56:30:90, 2025-04-13 01:42:42, 2025-04-13 02:36:59,1,195, OPN, ,   ,-78,70,8,  10.  2. 97.104,10, Amity-wifi, 
46:AE:30:56:30:90, 2025-04-13 01:43:54, 2025-04-13 02:37:02,1,195, OPN, ,   ,-79,56,0,   0.  0.  0.  0,11, Amity-Guest, 
2E:23:51:A6:25:A6, 2025-04-13 01:41:43, 2025-04-13 02:37:00,6,195, OPN, ,   ,-77,53,0,   0.  0.  0.  0,11, Amity-event, 
4A:AE:30:56:31:50, 2025-04-13 01:57:48, 2025-04-13 02:37:00,6,195, WPA2, CCMP, PSK,-77,103,0,   0.  0.  0.  0,0, , 
E2:44:89:D4:FB:0C, 2025-04-13 02:36:46, 2025-04-13 02:36:46,6,195, WPA2, CCMP, PSK,-77,1,0,   0.  0.  0.  0,0, , 
40:AE:30:56:31:96, 2025-04-13 01:42:01, 2025-04-13 02:36:59,11,195, OPN, ,   ,-77,50,1013,  10.  2. 97.104,10, Amity-wifi, 
4A:AE:30:56:31:96, 2025-04-13 01:55:00, 2025-04-13 02:36:51,11,195, WPA2, CCMP, PSK,-76,43,0,   0.  0.  0.  0,0, , 
46:AE:30:56:31:8E, 2025-04-13 01:41:55, 2025-04-13 02:36:45,11,195, OPN, ,   ,-76,118,0,   0.  0.  0.  0,11, Amity-Guest, 
02:12:36:B9:75:4F, 2025-04-13 01:42:04, 2025-04-13 02:37:04,1,65, WPA2, CCMP, PSK,-76,6,0,   0.  0.  0.  0,15, Galaxy A50s754F, 
E6:44:89:D5:03:F6, 2025-04-13 01:42:40, 2025-04-13 02:36:45,11,195, OPN, ,   ,-75,89,0,   0.  0.  0.  0,11, Amity-event, 
E6:44:89:D5:03:EC, 2025-04-13 01:41:50, 2025-04-13 02:36:51,11,195, OPN, ,   ,-75,155,0,   0.  0.  0.  0,11, Amity-event, 
D8:44:89:D4:FA:B4, 2025-04-13 01:46:26, 2025-04-13 02:36:42,11,195, OPN, ,   ,-75,25,0,   0.  0.  0.  0,10, Amity-wifi, 
D8:44:89:D4:FA:7C, 2025-04-13 01:41:49, 2025-04-13 02:36:52,6,195, OPN, ,   ,-75,208,0,   0.  0.  0.  0,10, Amity-wifi, 
4E:AE:30:56:31:8E, 2025-04-13 01:41:50, 2025-04-13 02:36:51,11,195, OPN, ,   ,-75,150,0,   0.  0.  0.  0,11, Amity-event, 
40:AE:30:56:31:8E, 2025-04-13 01:42:40, 2025-04-13 02:36:56,11,195, OPN, ,   ,-74,129,73,  10.  2. 98.178,10, Amity-wifi, 
DE:44:89:D5:03:EC, 2025-04-13 01:42:02, 2025-04-13 02:36:59,11,195, OPN, ,   ,-74,181,0,   0.  0.  0.  0,11, Amity-Guest, 
E6:44:89:D4:FA:7C, 2025-04-13 01:41:49, 2025-04-13 02:37:02,6,195, OPN, ,   ,-79,207,0,   0.  0.  0.  0,11, Amity-event, 
2E:23:51:A6:25:CC, 2025-04-13 01:42:48, 2025-04-13 02:36:42,6,195, OPN, ,   ,-74,115,0,   0.  0.  0.  0,11, Amity-event, 
D8:44:89:D4:FA:7E, 2025-04-13 01:41:44, 2025-04-13 02:36:59,1,195, OPN, ,   ,-73,271,0,   0.  0.  0.  0,10, Amity-wifi, 
D8:44:89:D5:03:EC, 2025-04-13 01:42:24, 2025-04-13 02:36:51,11,195, OPN, ,   ,-73,183,0,   0.  0.  0.  0,10, Amity-wifi, 
26:23:51:A6:2D:1A, 2025-04-13 01:41:43, 2025-04-13 02:37:02,1,195, OPN, ,   ,-73,935,0,   0.  0.  0.  0,11, Amity-Guest, 
